Status Toko,Kategori Utama,Sub Kategori,Jenis Produk,Persentase Biaya,,,,,,,,,,,,,,,
Non-Star,Koper & Tas Travel,Tas Travel,Tas Lipat,9,,,,,,,,,,,,,,,
Non-Star,Koper & Tas Travel,Tas Travel,Tas Travel Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Koper & Tas Travel,Koper & Tas Travel Lainnya,Koper & Tas Travel Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Kaos Kaki,Kaos Kaki,10,,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Atasan,Kemeja,"8,25",,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Atasan, Kaos Polo,"8,25",,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Atasan, Kaos,"8,25",,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Atasan, Tanktop,"8,25",,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Atasan, Atasan Lainnya,"8,25",,,,,,,,,,,,,,,
Non-Star,Pakaian Pria,Celana Panjang,Celana Panjang,"8,25",,,,,,,,,,,,,,,
